FechayHora	P2_Hs	P6_Hs
28856	0.39	0.47
28856.25	0.62	0.68
28856.5	0.94	1.07
28856.75	0.27	0.28
28857	0.35	0.36
28857.25	0.86	0.96
28857.5	0.67	0.71
28857.75	0.21	0.22
28858	0.29	0.58
28858.25	0.27	0.4
28858.5	0.29	0.4
28858.75	0.52	0.61
28859	0.39	0.5
28859.25	0.63	0.82
28859.5	0.69	0.84
28859.75	0.63	0.79
28860	0.53	0.67
28860.25	0.49	0.61
28860.5	0.58	0.73
28860.75	0.65	0.81
28861	0.61	0.78
28861.25	0.45	0.64
28861.5	0.52	0.65
28861.75	0.55	0.68
28862	0.64	0.81
28862.25	0.74	0.92
28862.5	0.95	1.19
28862.75	0.98	1.22
28863	0.88	1.09
28863.25	1.22	1.43
28863.5	0.84	1.02
28863.75	0.67	0.89
28864	0.5	0.75
28864.25	1.98	2.69
28864.5	1.08	1.57
28864.75	0.84	1.09
28865	0.77	0.99
28865.25	0.78	1.07
28865.5	0.94	1.35
28865.75	0.33	0.66
28866	0.87	1.12
28866.25	1.16	1.42
28866.5	0.82	1.04
28866.75	0.75	0.94
28867	0.67	0.84
28867.25	0.64	0.79
28867.5	1.07	1.12
28867.75	0.72	0.96
28868	0.61	0.83
28868.25	0.49	0.64
28868.5	0.45	0.57
28868.75	0.58	0.72
28869	0.84	1.15
28869.25	1	1.28
28869.5	0.6	0.79
28869.75	0.42	0.94
28870	0.59	1
28870.25	0.58	0.78
28870.5	0.62	1.04
28870.75	0.12	0.29
28871	0.26	0.43
28871.25	0.61	1.1
28871.5	0.58	0.72
28871.75	0.47	0.62
28872	0.44	0.55
28872.25	0.46	0.61
28872.5	1.33	1.4
28872.75	1.12	1.16
28873	0.93	1.14
28873.25	0.76	0.95
28873.5	0.51	0.72
28873.75	0.06	0.14
28874	0.43	0.53
28874.25	0.45	0.55
28874.5	0.49	0.6
28874.75	1	1.14
28875	1.89	2.25
28875.25	2.11	2.57
28875.5	1.59	2
28875.75	1.58	1.83
28876	1.24	1.49
28876.25	1.18	1.37
28876.5	1.25	1.4
28876.75	0.93	1.11
28877	0.86	1.25
28877.25	0.9	1.06
28877.5	0.88	1.24
28877.75	0.91	1.32
28878	1.26	1.72
28878.25	0.88	1.31
28878.5	1.31	1.92
28878.75	0.35	0.49
28879	0.96	1.45
28879.25	0.32	0.61
28879.5	0.68	1.33
28879.75	0.52	1.04
28880	0.39	0.8
28880.25	0.43	0.61
28880.5	0.65	0.69
28880.75	0.15	0.29
28881	0.4	0.49
28881.25	0.6	0.71
28881.5	1.19	1.54
28881.75	2.12	2.38
28882	2.43	2.48
28882.25	2.28	2.46
28882.5	1.7	1.79
28882.75	1.13	1.33
28883	0.97	1.19
28883.25	1.14	1.8
28883.5	0.77	1.08
28883.75	1.03	1.4
28884	1.49	1.77
28884.25	1.66	1.81
28884.5	2.26	2.48
28884.75	0.74	0.82
28885	1.19	1.63
28885.25	0.46	0.67
28885.5	0.59	0.91
28885.75	0.39	0.49
28886	0.56	0.68
28886.25	0.61	0.66
28886.5	0.34	0.48
