fecha	anio	mes	dia	Hs_P2
28856	1979	01	01	0.39
28856.25	1979	01	01	0.62
28856.5	1979	01	01	0.94
28856.75	1979	01	01	0.27
28857	1979	01	02	0.35
28857.25	1979	01	02	0.86
28857.5	1979	01	02	0.67
28857.75	1979	01	02	0.21
28858	1979	01	03	0.29
28858.25	1979	01	03	0.27
28858.5	1979	01	03	0.29
28858.75	1979	01	03	0.52
28859	1979	01	04	0.39
28859.25	1979	01	04	0.63
28859.5	1979	01	04	0.69
28859.75	1979	01	04	0.63
28860	1979	01	05	0.53
28860.25	1979	01	05	0.49
28860.5	1979	01	05	0.58
28860.75	1979	01	05	0.65
28861	1979	01	06	0.61
28861.25	1979	01	06	0.45
28861.5	1979	01	06	0.52
28861.75	1979	01	06	0.55
28862	1979	01	07	0.64
28862.25	1979	01	07	0.74
28862.5	1979	01	07	0.95
28862.75	1979	01	07	0.98
28863	1979	01	08	0.88
28863.25	1979	01	08	1.22
28863.5	1979	01	08	0.84
28863.75	1979	01	08	0.67
28864	1979	01	09	0.50
28864.25	1979	01	09	1.98
28864.5	1979	01	09	1.08
28864.75	1979	01	09	0.84
28865	1979	01	10	0.77
28865.25	1979	01	10	0.78
28865.5	1979	01	10	0.94
28865.75	1979	01	10	0.33
28866	1979	01	11	0.87
28866.25	1979	01	11	1.16
28866.5	1979	01	11	0.82
28866.75	1979	01	11	0.75
28867	1979	01	12	0.67
28867.25	1979	01	12	0.64
28867.5	1979	01	12	1.07
28867.75	1979	01	12	0.72
28868	1979	01	13	0.61
28868.25	1979	01	13	0.49
28868.5	1979	01	13	0.45
28868.75	1979	01	13	0.58
28869	1979	01	14	0.84
28869.25	1979	01	14	1.00
28869.5	1979	01	14	0.60
28869.75	1979	01	14	0.42
28870	1979	01	15	0.59
28870.25	1979	01	15	0.58
28870.5	1979	01	15	0.62
28870.75	1979	01	15	0.12
28871	1979	01	16	0.26
28871.25	1979	01	16	0.61
28871.5	1979	01	16	0.58
28871.75	1979	01	16	0.47
28872	1979	01	17	0.44
28872.25	1979	01	17	0.46
28872.5	1979	01	17	1.33
28872.75	1979	01	17	1.12
28873	1979	01	18	0.93
28873.25	1979	01	18	0.76
28873.5	1979	01	18	0.51
28873.75	1979	01	18	0.06
28874	1979	01	19	0.43
28874.25	1979	01	19	0.45
28874.5	1979	01	19	0.49
28874.75	1979	01	19	1.00
28875	1979	01	20	1.89
28875.25	1979	01	20	2.11
28875.5	1979	01	20	1.59
28875.75	1979	01	20	1.58
28876	1979	01	21	1.24
28876.25	1979	01	21	1.18
28876.5	1979	01	21	1.25
28876.75	1979	01	21	0.93
28877	1979	01	22	0.86
28877.25	1979	01	22	0.90
28877.5	1979	01	22	0.88
28877.75	1979	01	22	0.91
28878	1979	01	23	1.26
28878.25	1979	01	23	0.88
28878.5	1979	01	23	1.31
28878.75	1979	01	23	0.35
28879	1979	01	24	0.96
28879.25	1979	01	24	0.32
28879.5	1979	01	24	0.68
28879.75	1979	01	24	0.52
28880	1979	01	25	0.39
28880.25	1979	01	25	0.43
28880.5	1979	01	25	0.65
28880.75	1979	01	25	0.15
28881	1979	01	26	0.40
28881.25	1979	01	26	0.60
28881.5	1979	01	26	1.19
28881.75	1979	01	26	2.12
28882	1979	01	27	2.43
28882.25	1979	01	27	2.28
28882.5	1979	01	27	1.70
28882.75	1979	01	27	1.13
28883	1979	01	28	0.97
28883.25	1979	01	28	1.14
28883.5	1979	01	28	0.77
28883.75	1979	01	28	1.03
28884	1979	01	29	1.49
28884.25	1979	01	29	1.66
28884.5	1979	01	29	2.26
28884.75	1979	01	29	0.74
