date;level
3/4/2013 09:00;-0.044
3/4/2013 09:05;-0.02
3/4/2013 09:10;-0.012
3/4/2013 09:15;-0.013
3/4/2013 09:20;-0.006
3/4/2013 09:25;-0.01
3/4/2013 09:30;0.013
3/4/2013 09:35;0.031
3/4/2013 09:40;0.028
3/4/2013 09:45;0.051
3/4/2013 09:50;0.061
3/4/2013 09:55;0.073
3/4/2013 10:00;0.085
3/4/2013 10:05;0.098
3/4/2013 10:10;0.11
3/4/2013 10:15;0.125
3/4/2013 10:20;0.149
3/4/2013 10:25;0.155
3/4/2013 10:30;0.163
3/4/2013 10:35;0.2
3/4/2013 10:40;0.178
3/4/2013 10:45;0.204
3/4/2013 10:50;0.214
3/4/2013 10:55;0.224
3/4/2013 11:00;0.248
3/4/2013 11:05;0.244
3/4/2013 11:10;0.267
3/4/2013 11:15;0.268
3/4/2013 11:20;0.279
3/4/2013 11:25;0.279
3/4/2013 11:30;0.309
3/4/2013 11:35;0.298
3/4/2013 11:40;0.311
3/4/2013 11:45;0.321
3/4/2013 11:50;0.357
3/4/2013 11:55;0.341
3/4/2013 12:00;0.356
3/4/2013 12:05;0.357
3/4/2013 12:10;0.349
3/4/2013 12:15;0.383
3/4/2013 12:20;0.378
3/4/2013 12:25;0.366
3/4/2013 12:30;0.398
3/4/2013 12:35;0.387
3/4/2013 12:40;0.413
3/4/2013 12:45;0.425
3/4/2013 12:50;0.392
3/4/2013 12:55;0.41
3/4/2013 13:00;0.409
3/4/2013 13:05;0.415
3/4/2013 13:10;0.41
3/4/2013 13:15;0.396
3/4/2013 13:20;0.413
3/4/2013 13:25;0.434
3/4/2013 13:30;0.403
3/4/2013 13:35;0.398
3/4/2013 13:40;0.419
3/4/2013 13:45;0.418
3/4/2013 13:50;0.417
3/4/2013 13:55;0.4
3/4/2013 14:00;0.407
3/4/2013 14:05;0.401
3/4/2013 14:10;0.39
3/4/2013 14:15;0.393
3/4/2013 14:20;0.394
3/4/2013 14:25;0.368
3/4/2013 14:30;0.352
3/4/2013 14:35;0.385
3/4/2013 14:40;0.373
3/4/2013 14:45;0.356
3/4/2013 14:50;0.333
3/4/2013 14:55;0.335
3/4/2013 15:00;0.313
3/4/2013 15:05;0.32
3/4/2013 15:10;0.318
3/4/2013 15:15;0.314
3/4/2013 15:20;0.291
3/4/2013 15:25;0.257
3/4/2013 15:30;0.278
3/4/2013 15:35;0.267
3/4/2013 15:40;0.241
3/4/2013 15:45;0.226
3/4/2013 15:50;0.221
