Fecha	anio	u	v	vel
28856.00	1979	4.43	0.59	4.47
28856.25	1979	6.66	1.42	6.81
28856.50	1979	5.11	4.14	6.58
28856.75	1979	4.52	4.51	6.39
28857.00	1979	2.73	3.36	4.33
28857.25	1979	4.38	0.81	4.45
28857.50	1979	1.76	1.06	2.05
28857.75	1979	1.57	-2.18	2.69
28858.00	1979	2.02	-4.30	4.75
28858.25	1979	2.82	-3.37	4.39
28858.50	1979	0.48	0.02	0.48
28858.75	1979	-1.59	-3.53	3.87
28859.00	1979	-0.68	-2.51	2.60
28859.25	1979	-0.32	-1.87	1.90
28859.50	1979	-4.39	-3.55	5.65
28859.75	1979	0.47	-4.81	4.83
28860.00	1979	5.97	-4.00	7.19
28860.25	1979	5.95	-1.78	6.21
28860.50	1979	2.50	-0.55	2.56
28860.75	1979	1.80	-2.07	2.74
28861.00	1979	2.59	-1.70	3.10
28861.25	1979	1.69	-3.73	4.09
28861.50	1979	2.62	-3.74	4.57
28861.75	1979	2.52	-4.06	4.78
28862.00	1979	3.76	-4.17	5.61
28862.25	1979	5.35	-5.60	7.74
28862.50	1979	6.46	-2.80	7.04
28862.75	1979	8.38	0.24	8.38
28863.00	1979	4.38	2.42	5.00
28863.25	1979	1.84	1.68	2.49
28863.50	1979	1.84	2.49	3.10
28863.75	1979	3.39	-2.82	4.41
28864.00	1979	3.65	-6.81	7.73
28864.25	1979	7.86	-6.86	10.43
28864.50	1979	5.81	-9.93	11.50
28864.75	1979	5.87	-12.03	13.39
28865.00	1979	9.99	-7.86	12.71
28865.25	1979	12.43	-4.63	13.26
28865.50	1979	6.80	-2.36	7.20
28865.75	1979	0.74	-9.54	9.57
28866.00	1979	1.06	-13.83	13.87
28866.25	1979	4.92	-11.99	12.96
28866.50	1979	6.90	-2.49	7.34
28866.75	1979	2.51	-1.01	2.71
28867.00	1979	-0.43	-3.30	3.33
28867.25	1979	7.10	-1.67	7.29
28867.50	1979	5.85	1.06	5.95
28867.75	1979	4.06	0.88	4.15
28868.00	1979	1.77	0.54	1.85
28868.25	1979	5.05	-3.31	6.04
28868.50	1979	3.46	-4.68	5.82
28868.75	1979	7.01	-5.62	8.98
28869.00	1979	7.97	0.87	8.02
28869.25	1979	6.93	0.33	6.94
28869.50	1979	4.16	-9.07	9.98
28869.75	1979	7.90	-11.28	13.77
28870.00	1979	8.00	-9.69	12.57
28870.25	1979	11.24	-6.78	13.13
28870.50	1979	11.07	-2.38	11.32
28870.75	1979	6.59	-1.59	6.78
28871.00	1979	3.00	-0.38	3.02
28871.25	1979	0.44	-0.37	0.57
28871.50	1979	-1.48	-2.09	2.56
28871.75	1979	5.52	-1.68	5.77
28872.00	1979	7.82	0.70	7.85
28872.25	1979	9.04	0.15	9.04
28872.50	1979	5.90	3.77	7.00
28872.75	1979	4.54	2.80	5.33
28873.00	1979	2.07	-1.28	2.43
28873.25	1979	6.58	-2.08	6.90
28873.50	1979	1.11	-0.53	1.23
28873.75	1979	2.07	-4.82	5.25
28874.00	1979	2.51	-3.50	4.31
28874.25	1979	1.93	-4.57	4.96
28874.50	1979	-5.65	-6.47	8.59
28874.75	1979	-5.20	-9.85	11.14
28875.00	1979	-5.16	-8.75	10.16
28875.25	1979	0.64	-8.36	8.38
28875.50	1979	6.09	0.42	6.10
28875.75	1979	8.60	6.81	10.97
28876.00	1979	4.83	4.65	6.70
28876.25	1979	3.14	0.22	3.15
28876.50	1979	0.66	-1.00	1.20
28876.75	1979	3.47	-4.02	5.31
28877.00	1979	10.81	1.19	10.88
28877.25	1979	9.98	-0.26	9.98
28877.50	1979	6.91	-0.66	6.94
28877.75	1979	10.95	-3.35	11.45
28878.00	1979	13.37	-1.94	13.51
28878.25	1979	10.83	-2.13	11.04
28878.50	1979	7.12	-4.65	8.50
28878.75	1979	8.44	-3.65	9.20
28879.00	1979	5.55	-5.39	7.74
28879.25	1979	9.42	-6.27	11.32
28879.50	1979	10.47	-6.84	12.51
28879.75	1979	5.95	-1.88	6.24
28880.00	1979	2.18	1.62	2.72
28880.25	1979	4.42	4.68	6.44
28880.50	1979	0.56	2.55	2.61
28880.75	1979	-6.16	-2.69	6.72
28881.00	1979	-3.50	-4.34	5.58
28881.25	1979	5.05	0.19	5.05
28881.50	1979	11.09	10.16	15.04
28881.75	1979	12.14	11.63	16.81
28882.00	1979	12.05	12.38	17.28
28882.25	1979	11.37	8.77	14.36
28882.50	1979	7.78	6.31	10.02
28882.75	1979	8.40	2.11	8.66
28883.00	1979	10.23	-1.27	10.31
28883.25	1979	12.84	-4.31	13.54
28883.50	1979	11.00	2.27	11.23
28883.75	1979	12.80	6.06	14.16
28884.00	1979	12.00	1.83	12.14
28884.25	1979	13.73	3.06	14.07
28884.50	1979	11.48	4.41	12.30
28884.75	1979	8.35	-3.99	9.25
28885.00	1979	13.67	-2.07	13.83
28885.25	1979	12.05	-0.07	12.05
28885.50	1979	7.96	-0.68	7.99
28885.75	1979	8.35	-1.87	8.56
28886.00	1979	9.72	-0.59	9.74
28886.25	1979	8.24	-3.49	8.95
28886.50	1979	6.27	-7.48	9.76
28886.75	1979	9.78	-0.79	9.81
28887.00	1979	11.33	3.01	11.72
28887.25	1979	7.86	3.04	8.43
28887.50	1979	4.29	-1.88	4.68
28887.75	1979	5.83	-5.58	8.07
28888.00	1979	10.83	-6.02	12.39
28888.25	1979	13.93	-5.46	14.96
28888.50	1979	12.14	-1.97	12.30
28888.75	1979	10.09	-2.36	10.36
28889.00	1979	8.42	-0.56	8.44
28889.25	1979	10.39	-2.50	10.69
28889.50	1979	11.22	-0.57	11.23
28889.75	1979	6.82	0.50	6.84
28890.00	1979	3.35	0.21	3.36
28890.25	1979	2.72	-0.11	2.72
28890.50	1979	-3.60	-1.18	3.79
28890.75	1979	1.98	-0.28	2.00
28891.00	1979	8.99	3.00	9.48
28891.25	1979	11.17	4.65	12.10
28891.50	1979	6.43	5.46	8.44
28891.75	1979	3.20	-4.07	5.18
28892.00	1979	4.30	-5.15	6.71
28892.25	1979	8.49	-1.61	8.64
28892.50	1979	9.63	6.89	11.84
28892.75	1979	6.50	2.66	7.02
28893.00	1979	10.08	-4.99	11.25
28893.25	1979	16.14	-2.05	16.27
28893.50	1979	15.12	-1.68	15.21
28893.75	1979	19.39	-0.78	19.41
28894.00	1979	20.00	3.24	20.26
28894.25	1979	18.12	5.01	18.80
28894.50	1979	18.37	5.14	19.08
28894.75	1979	15.32	5.16	16.17
28895.00	1979	12.64	3.76	13.19
28895.25	1979	9.67	1.86	9.85
28895.50	1979	7.27	0.53	7.29
28895.75	1979	10.59	-0.60	10.61
28896.00	1979	12.80	1.97	12.95
28896.25	1979	12.14	-3.20	12.55
28896.50	1979	10.90	0.23	10.90
28896.75	1979	6.46	-2.37	6.88
28897.00	1979	5.32	-3.49	6.36
28897.25	1979	6.29	-4.21	7.57
28897.50	1979	7.09	-3.63	7.97
28897.75	1979	8.86	-0.69	8.89
28898.00	1979	8.74	1.95	8.95
28898.25	1979	5.44	0.64	5.48
28898.50	1979	2.37	-5.58	6.06
28898.75	1979	7.78	-5.88	9.75
28899.00	1979	1.88	-5.18	5.51
28899.25	1979	5.47	-6.36	8.39
28899.50	1979	7.54	1.23	7.64
28899.75	1979	4.42	1.22	4.59
28900.00	1979	2.01	1.78	2.68
28900.25	1979	4.96	0.11	4.96
28900.50	1979	7.46	0.24	7.46
28900.75	1979	8.66	-1.34	8.76
28901.00	1979	9.25	-2.08	9.48
